Country Name,Country Code,2017 [YR2017],Domestic general government health expenditure (% of general government expenditure)
Switzerland,CHE,11.02358699,
Syrian Arab Republic,SYR,..,
Tajikistan,TJK,5.884055421,
Tanzania,TZA,9.521435201,
Thailand,THA,15.0277853,
Timor-Leste,TLS,5.187302828,
Togo,TGO,5.052941665,
Tonga,TON,7.383985817,
Trinidad and Tobago,TTO,11.21120453,
Tunisia,TUN,13.62780184,
Turkey,TUR,9.689014405,
Turkmenistan,TKM,8.713923395,
Turks and Caicos Islands,TCA,..,
Tuvalu,TUV,10.00000015,
Uganda,UGA,5.135318264,
Ukraine,UKR,7.423895597,
United Arab Emirates,ARE,7.890500873,
United Kingdom,GBR,18.73957217,
United States,USA,22.54920453,
Uruguay,URY,19.7754994,
Uzbekistan,UZB,10.17032042,
Vanuatu,VUT,5.301577598,
"Venezuela, RB",VEN,1.370837167,
Vietnam,VNM,9.475599229,
Virgin Islands (U.S.),VIR,..,
West Bank and Gaza,PSE,..,
"Yemen, Rep.",YEM,..,
Zambia,ZMB,6.856653839,
Zimbabwe,ZWE,15.23425281,
Arab World,ARB,..,
Caribbean small states,CSS,..,
Central Europe and the Baltics,CEB,11.96146856,
Early-demographic dividend,EAR,9.522460713,
East Asia & Pacific,EAS,..,
East Asia & Pacific (excluding high income),EAP,..,
East Asia & Pacific (IDA & IBRD countries),TEA,..,
Euro area,EMU,15.84668503,
Europe & Central Asia,ECS,15.21746649,
Europe & Central Asia (excluding high income),ECA,9.285223457,
Europe & Central Asia (IDA & IBRD countries),TEC,9.596726299,
European Union,EUU,15.63622129,
Fragile and conflict affected situations,FCS,..,
Heavily indebted poor countries (HIPC),HPC,..,
High income,HIC,18.62763951,
IBRD only,IBD,..,
IDA & IBRD total,IBT,..,
IDA blend,IDB,..,
IDA only,IDX,..,
IDA total,IDA,..,
Late-demographic dividend,LTE,..,
Latin America & Caribbean,LCN,12.39981523,
Latin America & Caribbean (excluding high income),LAC,12.03279007,
Latin America & the Caribbean (IDA & IBRD countries),TLA,12.40177579,
Least developed countries: UN classification,LDC,..,
Low & middle income,LMY,..,
Low income,LIC,..,
Lower middle income,LMC,5.654777166,
Middle East & North Africa,MEA,..,
Middle East & North Africa (excluding high income),MNA,..,
Middle East & North Africa (IDA & IBRD countries),TMN,..,
Middle income,MIC,..,
North America,NAC,22.35087727,
Not classified,INX,..,
OECD members,OED,18.48598332,
Other small states,OSS,..,
Pacific island small states,PSS,7.729339845,
Post-demographic dividend,PST,18.9345705,
Pre-demographic dividend,PRE,..,
Small states,SST,..,
South Asia,SAS,3.54949038,
South Asia (IDA & IBRD),TSA,3.54949038,
Sub-Saharan Africa,SSF,..,
Sub-Saharan Africa (excluding high income),SSA,..,
Sub-Saharan Africa (IDA & IBRD countries),TSS,..,
Upper middle income,UMC,..,
World,WLD,..,
