,Country_Region,Population Density (per sq. km),HDI,Total Testing,hospibed,pop,Age Dependency Ratio (65+/Working Age),Physician_per_thousand,Lockdown Date
4736,Georgia,65.27520207,0.78,,2.6,3989167.0,22.5369112514664,5.192,22/03/2020
4810,Germany,237.37096980000004,0.9359999999999999,167000.0,8.3,83783942.0,32.7671018463102,4.2087,20/03/2020
4884,Ghana,130.8214292,0.5920000000000001,,0.9,31072940.0,5.82598183797722,0.18,15/03/2020
4958,Greece,83.22473235,0.87,,4.3,10423054.0,31.1920457704462,6.1082,18/03/2020
5032,Grenada,327.8058824,0.772,,3.7,112523.0,11.0081484898039,1.4471,
5106,Guatemala,160.9537794,0.65,,0.6,17915568.0,7.79015573580197,1.1,
5180,Guinea,50.52221227,0.45899999999999996,,4.024199963,13132795.0,5.74088026187477,0.152,
5254,Guinea-Bissau,66.65394737,0.455,,1.0,1968001.0,5.408670483860821,0.2,
5328,Guyana,3.957348235,0.654,,1.6,786552.0,8.07545545271315,0.799,
5402,Haiti,403.5985486,0.498,,0.7,11402528.0,7.713363892234,0.23600000000000002,
5476,Holy See,,,,5.0,801.0,,,10/03/2020
5550,Honduras,85.68703191,0.617,,0.7,9904607.0,7.3024461668113,0.9999,20/03/2020
5624,Hungary,107.9066055,0.838,3007.0,7.0,9660351.0,27.6834653598844,3.8435,16/03/2020
5698,Iceland,3.526922693,0.935,9189.0,3.2,341243.0,22.0393441449182,3.9701,16/03/2020
5772,India,454.9380726,0.64,14514.0,0.7,1380004385.0,9.04291539256713,1.2252,24/03/2020
5846,Indonesia,147.75219009999998,0.6940000000000001,2028.0,1.2,273523615.0,7.90128861853176,0.3777,15/03/2020
5920,Iran,50.22242012,0.7979999999999999,80000.0,1.5,83992949.0,7.67524931556003,1.4862,15/03/2020
5994,Iraq,88.53057004,0.685,,1.4,40222493.0,5.646788919446321,0.8607,22/03/2020
6068,Ireland,70.45298302,0.938,6600.0,2.8,4937786.0,21.6149982686568,3.187,12/03/2020
6142,Israel,410.52680219999996,0.903,10864.0,3.1,8655535.0,19.4245475115702,4.8555,12/03/2020
6216,Italy,205.4507479,0.88,206886.0,3.4,60461826.0,36.2760747911724,4.4,11/03/2020
6290,Jamaica,270.9930748,0.732,,1.7,2961167.0,14.3275579732883,1.401,12/03/2020
6364,Japan,347.0734584,0.909,14901.0,13.4,126476461.0,45.0324672314688,2.4118,27/02/2020
6438,Jordan,112.1424983,0.735,,1.4,10203134.0,6.278502382434441,2.8407,21/03/2020
6512,Kazakhstan,6.769825907,0.8,,6.7,18776707.0,10.7422036054811,3.9760000000000004,15/03/2020
6586,Kenya,90.29941666,0.59,,1.4,53771296.0,4.72570544537853,0.1988,15/03/2020
6660,"Korea, South",529.6521036,0.903,316664.0,11.5,51269185.0,19.1621671978778,2.3661,23/02/2020
6734,Kosovo,168.15467990000002,,,6.7,1810463.0,,,25/03/2020
6808,Kuwait,232.1722222,0.8029999999999999,,2.0,4270571.0,3.0630854784298904,2.588,16/03/2020
6882,Kyrgyzstan,32.92909281,0.672,1545.0,4.5,6524195.0,7.050362153846621,,24/03/2020
6956,Laos,30.59578423,0.601,,1.5,7275560.0,6.38696599815557,0.8306,
7030,Latvia,30.98330653,0.847,3205.0,5.8,1886198.0,30.466410675346605,4.6934,13/03/2020
7104,Lebanon,669.4941349,0.757,,2.9,6825445.0,12.4481416570776,3.4242,16/03/2020
7178,Liberia,50.03090739,0.435,,0.8,5057681.0,5.54485245695527,0.107,
7252,Libya,3.7956323810000003,0.706,,3.7,6847352.0,6.56156393387617,2.1581,
7326,Liechtenstein,236.9375,0.9159999999999999,,8.2,38128.0,,,20/03/2020
7400,Lithuania,44.53135138,0.858,1154.0,7.3,2722289.0,28.7155814256734,4.337,16/03/2020
7474,Luxembourg,250.0938272,0.904,,4.8,625978.0,20.6683385972647,3.0266,16/03/2020
7548,Madagascar,45.13985562,0.519,,0.2,27691018.0,5.221841785302059,0.272,17/03/2020
7622,Malaysia,95.96282149,0.802,13876.0,1.9,32365999.0,9.06796688360189,1.5132,18/03/2020
7696,Maldives,1718.9866670000001,0.7170000000000001,,4.3,540544.0,5.68481172381732,3.1381,11/03/2020
7770,Mali,15.63501586,0.42700000000000005,,0.1,20250833.0,5.06026487920749,0.1393,18/03/2020
7844,Malta,1511.03125,0.878,889.0,4.7,441543.0,29.367977801893602,3.88,12/03/2020
7918,Mauritania,4.272163578,0.52,,0.4,4649658.0,5.5120685277322,0.179,
7992,Mauritius,623.3019704,0.79,,3.4,1271768.0,15.488672501807198,2.0246,17/03/2020
8066,Mexico,64.91462641,0.774,278.0,1.5,128932753.0,10.3156576798848,2.8930000000000002,14/03/2020
8140,Moldova,123.5198035,0.7,,5.8,4033963.0,14.801133801208598,3.6310000000000002,11/03/2020
8214,Monaco,19196.0,,,13.8,39242.0,44.2,6.7196,17/03/2020
8288,Mongolia,2.040608667,0.741,,7.0,3278290.0,6.0796910943954,3.2426,10/03/2020
8362,Montenegro,46.27100372,0.8140000000000001,,4.0,628066.0,21.993513720515597,2.3337,24/03/2020
8436,Morocco,80.72851893,0.667,,1.1,36910560.0,10.2815010345619,0.7273,16/03/2020
8510,Mozambique,37.50853531,0.43700000000000006,,0.7,31255435.0,6.06765246787346,0.0735,
8584,MS Zaandam,,,,,,,,
8658,Namibia,2.973745582,0.647,,2.7,2540905.0,5.94524045889005,0.374,14/03/2020
8732,Nepal,195.9391071,0.574,,0.3,29136808.0,9.17802786808923,0.6507,24/03/2020
8806,Netherlands,511.45791039999995,0.9309999999999999,6000.0,4.7,17134872.0,28.9757730893801,3.9210000000000003,16/03/2020
8880,New Zealand,18.55417569,0.917,584.0,2.8,4822233.0,23.6036633000615,3.0252,25/03/2020
8954,Nicaragua,53.72704836,0.6579999999999999,,0.9,6624554.0,8.31014092182165,1.0056,
9028,Niger,17.71765059,0.354,,0.3,24206644.0,5.40377489090121,0.0513,
9102,Nigeria,215.06498900000003,0.532,,0.3,206139589.0,5.16490430721905,0.3827,25/03/2020
9176,North Macedonia,82.59151467,,,4.4,2083374.0,,2.8736,18/03/2020
9250,Norway,14.55491954,0.953,43735.0,3.9,5421241.0,25.719030214826997,4.6336,12/03/2020
9324,Oman,15.6041454,0.821,,1.6,5106626.0,3.10559112210406,2.1841,29/03/2020
9398,Pakistan,275.28931869999997,0.562,1979.0,0.6,220892340.0,7.401883294842889,0.9753,26/03/2020
9472,Panama,56.18607748,0.789,1455.0,2.3,4314767.0,12.239367852722198,1.7930000000000001,25/03/2020
9546,Papua New Guinea,19.00436338,0.544,,,,6.3200994896589195,0.162,
9620,Paraguay,17.50835892,0.7020000000000001,,1.3,7132538.0,9.93146958399857,1.3659999999999999,15/03/2020
9694,Peru,24.99160625,0.75,,1.6,32971854.0,10.9241444251795,1.6672,10/03/2020
9768,Philippines,357.6883053,0.6990000000000001,1269.0,1.0,109581078.0,7.565405387161139,1.275,16/03/2020
9842,Poland,124.0358862,0.865,13072.0,6.5,37846611.0,24.499863583677,2.469,12/03/2020
9916,Portugal,112.2394535,0.847,,3.4,10196709.0,33.1500873619739,4.3964,18/03/2020
9990,Qatar,239.5931955,0.856,8400.0,1.2,2881053.0,1.54087527719851,3.8877,11/03/2020
10064,Romania,84.63984701,0.8109999999999999,8284.0,6.3,19237691.0,26.687741997042103,2.6324,25/03/2020
10138,Russia,498.65987029999997,0.816,143519.0,8.2,145934462.0,20.7845994935077,4.309,27/03/2020
10212,Rwanda,498.65987029999997,0.524,,1.6,12952218.0,5.22861512597395,0.1408,16/03/2020
10286,Saint Kitts and Nevis,201.69615380000002,0.778,,2.3,53199.0,,,
10360,Saint Lucia,298.17868849999996,0.747,,1.3,183627.0,13.6162147768745,,20/03/2020
10434,Saint Vincent and the Grenadines,282.5897436,0.723,,2.6,115000.0,11.2780855954611,0.659,
10508,San Marino,563.0833332999999,,,3.8,33931.0,,6.1468,09/03/2020
10582,Saudi Arabia,15.67665431,0.853,,2.7,34813871.0,4.60640975782157,2.577,15/03/2020
10656,Senegal,82.34747832,0.505,,0.3,16743927.0,5.559511335339759,0.3103,24/03/2020
10730,Serbia,79.83174022,0.787,,5.7,8737371.0,26.2404480160987,3.125,15/03/2020
10804,Seychelles,210.3521739,0.797,,3.6,98347.0,12.4439884733181,1.3829,
10878,Sierra Leone,105.98717099999999,0.419,,,,4.58276845413444,0.075,
10952,Singapore,7952.998418000001,0.932,,2.4,5850342.0,17.9225949953661,2.3063,26/03/2020
11026,Slovakia,113.29057820000001,0.855,2707.0,4.8,5459642.0,21.664700076241196,3.1,09/03/2020
11100,Slovenia,102.6398595,0.8959999999999999,9860.0,4.6,2078938.0,28.8920505590167,2.9953,11/03/2020
11174,Somalia,23.923476899999997,,,0.9,15893222.0,5.37268695992594,0.071,19/03/2020
