,Country_Region,Population Density (per sq. km),HDI,hospibed,Age Dependency Ratio (65+/Working Age),Physician_per_thousand
89,Luxembourg,250.0938272,0.904,4.8,20.6683385972647,3.0266
90,Madagascar,45.13985562,0.519,0.2,5.2218417853020584,0.272
91,Malaysia,95.96282149,0.802,1.9,9.06796688360189,1.5132
92,Maldives,1718.986667,0.7170000000000001,4.3,5.68481172381732,3.1381
93,Mali,15.63501586,0.4270000000000001,0.1,5.06026487920749,0.1393
94,Malta,1511.03125,0.878,4.7,29.367977801893602,3.88
95,Mauritania,4.272163578,0.52,0.4,5.5120685277322,0.179
96,Mauritius,623.3019704,0.79,3.4,15.488672501807196,2.0246
97,Mexico,64.91462641,0.774,1.5,10.3156576798848,2.893
98,Moldova,123.5198035,0.7,5.8,14.801133801208598,3.631
99,Mongolia,2.040608667,0.741,7.0,6.0796910943954,3.2426
100,Montenegro,46.27100372,0.8140000000000001,4.0,21.993513720515597,2.3337
101,Morocco,80.72851893,0.667,1.1,10.2815010345619,0.7273
102,Mozambique,37.50853531,0.4370000000000001,0.7,6.06765246787346,0.0735
103,Namibia,2.973745582,0.647,2.7,5.94524045889005,0.374
104,Nepal,195.9391071,0.574,0.3,9.17802786808923,0.6507
105,Netherlands,511.4579104,0.931,4.7,28.9757730893801,3.921
106,New Zealand,18.55417569,0.917,2.8,23.6036633000615,3.0252
107,Nicaragua,53.72704836,0.6579999999999999,0.9,8.31014092182165,1.0056
108,Niger,17.71765059,0.354,0.3,5.40377489090121,0.0513
109,Nigeria,215.06498900000003,0.532,0.3,5.16490430721905,0.3827
110,Norway,14.55491954,0.953,3.9,25.719030214826997,4.6336
111,Oman,15.6041454,0.821,1.6,3.10559112210406,2.1841
112,Pakistan,275.2893187,0.562,0.6,7.4018832948428885,0.9753
113,Panama,56.18607748,0.789,2.3,12.239367852722197,1.793
114,Paraguay,17.50835892,0.7020000000000001,1.3,9.93146958399857,1.366
115,Peru,24.99160625,0.75,1.6,10.9241444251795,1.6672
116,Philippines,357.6883053,0.6990000000000001,1.0,7.565405387161139,1.275
117,Poland,124.0358862,0.865,6.5,24.499863583677,2.469
118,Portugal,112.2394535,0.847,3.4,33.1500873619739,4.3964
119,Qatar,239.5931955,0.856,1.2,1.54087527719851,3.8877
120,Romania,84.63984701,0.8109999999999999,6.3,26.687741997042107,2.6324
121,Russia,498.6598703,0.816,8.2,20.7845994935077,4.309
122,Rwanda,498.6598703,0.524,1.6,5.22861512597395,0.1408
123,Saint Vincent and the Grenadines,282.5897436,0.723,2.6,11.2780855954611,0.659
124,Saudi Arabia,15.67665431,0.853,2.7,4.60640975782157,2.577
125,Senegal,82.34747832,0.505,0.3,5.559511335339758,0.3103
126,Serbia,79.83174022,0.787,5.7,26.2404480160987,3.125
127,Seychelles,210.3521739,0.797,3.6,12.4439884733181,1.3829
128,Singapore,7952.998418000001,0.932,2.4,17.9225949953661,2.3063
129,Slovakia,113.2905782,0.855,4.8,21.664700076241196,3.1
130,Slovenia,102.6398595,0.8959999999999999,4.6,28.8920505590167,2.9953
131,South Africa,47.63011978,0.6990000000000001,2.8,8.138314696719151,0.9101
132,Spain,93.52905826,0.8909999999999999,3.0,29.504459393164506,4.7128
133,Sri Lanka,345.558922,0.77,3.6,15.274350662213099,1.0869
134,Suriname,3.69225,0.72,3.1,10.4049738017671,1.2265
135,Sweden,25.00104343,0.933,2.6,31.986428037615298,5.3996
136,Switzerland,215.5213784,0.944,4.7,27.644500917740306,4.2363
137,Syria,92.06710777,0.536,1.5,7.352557106041111,1.544
138,Tanzania,63.57907879999999,0.5379999999999999,0.7,5.979614559003742,0.055
139,Thailand,135.89720680000002,0.755,2.1,15.948996906884403,0.8096
140,Togo,145.0467733,0.503,0.8,5.107070867420768,0.2022
